ลำดับ,รหัสโรงพยาบาล,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์จนถึงยื่นใบสั่งยา,ระยะเวลารอรับยา,ระยะเวลารับยาเดิม,ระยะเวลากรณีได้รับ intervention,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,14644,340,3055,0:00:01,0:38:59,0:23:29,0:01:18,,0:26:26,,,207,,14644,10,2563,1
2,14644,428,2738,0:00:16,0:31:43,0:43:10,0:02:30,,0:31:22,,,195,,14644,11,2563,1
3,14644,251,2446,0:00:19,0:26:21,0:37:31,0:01:55,,0:30:36,,,182,,14644,12,2563,1
4,14644,359,2969,0:00:10,0:29:06,0:30:12,0:01:52,,0:37:15,,,237,,14644,1,2563,1
5,14644,301,2457,0:00:25,0:26:11,0:35:32,0:02:18,,0:26:37,,,220,,14644,2,2563,1
6,14644,246,2980,0:00:14,0:23:10,0:31:40,0:01:45,,0:24:24,,,175,,14644,3,2563,1
7,14644,142,2696,0:00:19,0:12:53,0:21:48,0:03:04,,0:22:13,,,121,,14644,4,2563,1
8,14644,246,1652,0:00:14,0:16:11,0:28:39,0:03:04,,0:26:07,,,191,,14644,5,2563,1
9,14644,296,2313,0:00:10,0:27:40,0:42:38,0:02:15,,0:25:34,,,201,,14644,6,2563,1
10,14644,297,2637,0:00:12,0:43:03,0:48:59,0:02:49,,0:23:30,,,215,,14644,7,2563,1
11,14644,285,2179,0:00:22,0:29:49,0:39:45,0:02:43,,0:22:19,,,188,,14644,8,2563,1
12,14644,321,2433,0:00:11,0:26:34,0:36:05,0:02:24,,0:24:52,,,220,,14644,9,2563,1
13,14644,264,2500,0:00:00,0:35:06,0:40:54,0:02:56,,0:27:08,,,210,,14644,10,2564,1
14,14644,302,2411,0:00:00,0:29:52,0:47:15,0:02:51,,0:26:48,,,232,,14644,11,2564,1
15,14644,302,2721,0:00:00,0:29:41,0:44:21,0:03:00,,0:30:49,,,242,,14644,12,2564,1
16,14644,257,2626,0:00:02,0:23:34,0:37:36,0:02:54,,0:27:11,,,203,,14644,1,2564,1
17,14644,372,2097,0:00:00,0:24:13,0:36:07,0:03:04,,0:30:50,,,201,,14644,2,2564,1
18,14644,368,3089,0:00:00,0:34:39,0:40:58,0:03:45,,0:32:17,,,250,,14644,3,2564,1
19,14644,264,2842,0:00:02,0:41:38,0:42:43,0:02:44,,0:34:57,,,195,,14644,4,2564,1
20,14644,368,2580,0:00:03,0:29:45,0:41:40,0:05:16,,0:27:46,,,160,,14644,5,2564,1
21,14644,325,2625,0:00:06,0:26:13,0:43:45,0:03:29,,0:23:17,,,159,,14644,6,2564,1
22,14644,419,2480,0:00:05,0:27:43,0:34:07,0:02:48,,0:27:52,,,152,,14644,7,2564,1
23,14644,711,3241,0:00:02,0:22:09,0:28:40,0:03:05,,0:27:24,,,157,,14644,8,2564,1
24,14644,722,2923,0:00:04,0:23:39,0:40:37,0:03:02,,0:23:33,,,138,,14644,9,2564,1
