ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,16,0,15.00,7.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,9,2565,2
1,0,1186,7.00,19.00,34.00,18.00,0.00,5.00,3.00,3.00,86.00,0.00,0.00,40915,9,2565,1
2,11,0,15.00,56.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,10,2565,2
2,0,1056,7.00,60.00,14.00,20.00,0.00,5.00,8.00,8.00,73.00,0.00,0.00,40915,10,2565,1
3,31,0,15.00,56.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,11,2565,2
3,0,1143,7.00,40.00,16.00,54.00,0.00,5.00,7.00,7.00,75.00,0.00,0.00,40915,11,2565,1
4,29,0,15.00,40.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,12,2565,2
4,0,845,7.00,38.00,16.00,58.00,0.00,5.00,20.00,20.00,75.00,0.00,0.00,40915,12,2565,1
5,63,0,15.00,55.00,0.00,0.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,1,2565,2
5,0,852,7.00,39.00,54.00,43.00,9.00,5.00,14.00,14.00,85.00,0.00,0.00,40915,1,2565,1
6,21,0,15.00,90.00,0.00,0.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,2,2565,2
6,0,813,7.00,42.00,37.00,49.00,9.00,5.00,14.00,14.00,88.00,0.00,0.00,40915,2,2565,1
7,18,0,15.00,79.00,0.00,0.00,11.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,3,2565,2
7,0,989,7.00,39.00,40.00,47.00,11.00,5.00,10.00,10.00,81.00,0.00,0.00,40915,3,2565,1
8,23,0,15.00,80.00,0.00,0.00,12.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,4,2565,2
8,0,760,7.00,39.00,22.00,59.00,12.00,5.00,30.00,30.00,143.00,0.00,0.00,40915,4,2565,1
9,43,0,15.00,57.00,0.00,0.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,5,2565,2
9,0,889,7.00,40.00,19.00,58.00,15.00,5.00,3.00,3.00,84.00,0.00,0.00,40915,5,2565,1
10,46,0,15.00,58.00,0.00,0.00,17.00,5.00,0.00,0.00,0.00,0.00,0.00,40915,6,2565,2
10,0,957,7.00,52.00,19.00,55.00,17.00,5.00,39.00,39.00,87.00,0.00,0.00,40915,6,2565,1
