ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์จนถึงยื่นใบสั่งยา,ระยะเวลารอรับยา,ระยะเวลารับยาเดิม,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12244,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12244,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12244,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12246,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12246,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12246,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12251,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12251,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12251,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12260,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12260,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12260,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12268,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12268,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12268,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12269,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12269,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12269,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12272,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12272,11,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.59,10.00,10,10.00,12272,10,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.16,10.00,10,10.00,12277,9,2564
1,10,10,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.30,10.00,10,10.00,12277,11,2564
