ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์จนถึงยื่นใบสั่งยา,ระยะเวลารอรับยา,ระยะเวลารับยาเดิม,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,284,0,34,13,31,7,8,0,24,0,14,41,12,12280,11,2563,2
2,327,0,28,11,31,6,9,0,12,0,17,43,10,12280,12,2563,2
3,413,0,24,11,37,6,7,0,11,0,17,51,8,12280,1,2563,2
4,415,0,26,11,34,6,9,0,11,0,14,59,5,12280,2,2563,2
5,352,0,23,10,27,6,9,0,16,0,13,62,5,12280,3,2563,2
6,238,0,14,10,19,8,5,0,22,0,22,37,7,12280,4,2563,2
7,354,0,27,11,26,7,7,0,18,0,14,56,4,12280,5,2563,2
8,411,0,24,13,29,7,6,0,11,0,19,65,8,12280,6,2563,2
9,379,0,23,11,39,7,8,0,14,0,18,70,6,12280,7,2563,2
10,384,0,23,10,32,8,7,0,10,0,20,56,5,12280,8,2563,2
11,489,0,34,10,33,7,7,0,8,0,21,75,8,12280,9,2563,2
12,474,0,30,10,32,6,6,0,14,0,13,58,7,12280,10,2564,2
13,349,0,26,10,31,6,6,0,14,0,13,45,5,12280,11,2564,2
14,349,0,21,10,26,7,7,0,12,0,17,50,6,12280,12,2564,2
15,314,0,18,11,25,7,6,0,8,0,11,47,7,12280,1,2564,2
16,346,0,26,11,36,7,7,0,13,0,13,60,7,12280,2,2564,2
17,428,0,31,11,29,7,9,0,11,0,20,80,7,12280,3,2564,2
18,242,0,31,9,25,7,11,0,12,0,23,39,6,12280,4,2564,2
19,308,0,31,10,23,8,9,0,8,0,14,44,8,12280,5,2564,2
20,445,0,35,11,23,10,7,0,6,0,19,79,6,12280,6,2564,2
21,323,0,18,11,20,9,8,0,4,0,20,58,6,12280,7,2564,2
22,324,0,20,11,24,9,8,0,9,0,21,36,4,12280,8,2564,2
23,386,0,22,11,24,9,6,0,7,0,21,59,8,12280,9,2564,2
24,0,2840,28,6,31,4,9,0,25,15,6,73,8,12280,11,2563,1
25,0,3672,26,5,37,3,8,0,16,12,8,108,8,12280,12,2563,1
26,0,4178,23,5,39,3,6,0,13,11,8,156,7,12280,1,2563,1
27,0,3483,26,5,36,3,7,0,10,12,9,127,7,12280,2,2563,1
28,0,3771,21,4,29,3,5,0,20,19,10,115,4,12280,3,2563,1
29,0,2986,13,3,25,3,4,0,31,26,9,84,6,12280,4,2563,1
30,0,3155,23,4,28,3,5,0,20,42,8,163,5,12280,5,2563,1
31,0,3396,20,4,33,3,6,0,19,11,7,154,4,12280,6,2563,1
32,0,3532,21,4,46,3,6,0,11,9,8,154,6,12280,7,2563,1
33,0,3500,18,4,36,3,6,0,10,10,8,143,7,12280,8,2563,1
34,0,3767,23,3,41,3,5,0,8,12,8,124,7,12280,9,2563,1
35,0,3929,21,4,37,3,5,0,14,18,7,143,5,12280,10,2564,1
36,0,3677,23,4,37,3,6,0,16,12,8,117,5,12280,11,2564,1
37,0,3821,19,4,34,3,6,0,16,18,9,138,6,12280,12,2564,1
38,0,3429,17,3,31,4,6,0,9,8,7,140,5,12280,1,2564,1
39,0,3427,21,3,38,3,6,0,16,18,7,144,4,12280,2,2564,1
40,0,4084,25,3,36,4,6,0,10,11,9,167,6,12280,3,2564,1
41,0,3370,23,3,33,3,7,0,14,15,7,102,6,12280,4,2564,1
42,0,2880,20,4,27,3,7,0,10,10,7,103,5,12280,5,2564,1
43,0,3567,24,4,30,4,7,0,8,51,8,151,5,12280,6,2564,1
44,0,3279,15,3,30,4,7,0,5,12,7,152,5,12280,7,2564,1
45,0,3428,18,3,28,4,7,0,11,7,7,103,5,12280,8,2564,1
46,0,3566,17,4,31,4,5,0,37,5,7,164,6,12280,9,2564,1
