ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,41,0,62,25,95,17,16,18,0,0,0,0,0,12246,11,2564,2
2,0,771,44,16,107,10,28,20,0,0,0,169,0,12246,11,2564,1
3,66,0,52,34,70,20,29,17,0,0,129,0,0,12246,12,2564,2
4,0,1471,42,12,82,8,24,18,0,0,72,177,0,12246,12,2564,1
5,50,0,49,27,52,14,36,20,0,0,105,0,0,12246,1,2564,2
6,0,1037,46,13,59,6,26,20,0,0,103,129,0,12246,1,2564,1
7,58,0,59,25,58,16,41,23,0,0,74.5,0,0,12246,2,2564,2
8,0,1339,41,14,89,7,25,21,0,0,65,172,0,12246,2,2564,1
9,97,0,55,25,48,14,30,16,0,0,60,0,0,12246,3,2564,2
10,0,1700,40,12,91,7,27,22,0,0,83,185,0,12246,3,2564,1
11,65,0,54,28,63,10,25,16,0,0,95,0,0,12246,4,2564,2
12,0,1260,43,17,68,5,27,21,0,0,83,51,0,12246,4,2564,1
13,2470,0,29,9,38,2,17,25,0,0,0,3,0,12246,5,2564,2
14,0,1316,53,12,66,4,27,27,0,0,45,0,0,12246,5,2564,1
15,10504,0,53,24,41,9,32,24,0,0,154,2,0,12246,6,2564,2
16,0,4376,45,14,77,5,28,24,0,0,88,0,0,12246,6,2564,1
17,21088,0,44,13,30,10,24,21,0,0,110,14,0,12246,7,2564,2
18,0,8360,47,21,48,4,27,29,0,0,59,3,0,12246,7,2564,1
19,20658,0,11,16,36,11,35,12,0,0,0,70,0,12246,8,2564,2
20,0,6971,21,18,64,4,28,24,0,0,0,22,0,12246,8,2564,1
21,14287,0,17,16,19,10,22,14,0,0,0,28,0,12246,9,2564,2
22,0,16718,20,17,63,5,29,19,0,0,0,7,0,12246,9,2564,1
