ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,0,11795,37.37,0.36,54.22,4.43,0.00,36.50,5.30,23.00,69.00,326,22.00,12244,10,2563,1
2,574,0,58.50,4.19,16.47,16.7,0.00,55.5,4.48,0.00,66.00,116,24.00,12244,10,2563,2
3,0,10905,32.19,0.37,53.52,4.54,0.00,34.29,6.35,25.00,66.00,297,25.00,12244,11,2563,1
4,501,0,48.6,3.26,28.19,20.35,0.00,29.33,4.8,0.00,52.00,125,26.00,12244,11,2563,2
5,0,10646,34.49,0.35,56.3,4.52,0.00,39.21,5.8,22.00,59.00,303,22.00,12244,12,2563,1
6,463,0,42.50,3.6,9.47,17.2,0.00,27.8,5.26,0.00,54.00,132,28.00,12244,12,2563,2
7,0,11733,32.35,0.39,53.29,4.32,0.00,34.46,4.53,25.00,53.00,358,24.00,12244,1,2563,1
8,471,0,54.41,5.24,41.56,10.29,0.00,27.2,3.0,0.00,57.00,122,26.00,12244,1,2563,2
9,0,10440,46.11,0.36,4.26,4.16,0.00,33.53,6.43,25.00,54.00,340,26.00,12244,2,2563,1
10,411,0,44.7,4.25,35.7,9.0,0.00,31.26,4.36,0.00,52.00,107,28.00,12244,2,2563,2
11,0,11256,20.45,0.33,43.54,4.18,0.00,36.31,6.10,23.00,61.00,269,22.00,12244,3,2563,1
12,321,0,28.1,3.49,42.29,13.11,0.00,26.34,3.25,0.00,68.00,81,28.00,12244,3,2563,2
13,0,9102,5.14,0.27,36.43,4.43,0.00,34.46,5.33,26.00,65.00,213,22.00,12244,4,2563,1
14,228,0,20.48,3.33,13.23,10.30,0.00,30.59,3.36,0.00,62.00,53,25.00,12244,4,2563,2
15,0,8495,3.53,0.28,46.34,5.18,0.00,37.4,6.39,20.00,69.00,253,27.00,12244,5,2563,1
16,320,0,19.20,4.22,13.40,15.58,0.00,34.43,5.4,0.00,59.00,76,23.00,12244,5,2563,2
17,0,9435,3.11,0.26,44.47,5.0,0.00,30.34,5.55,25.00,59.00,271,29.00,12244,6,2563,1
18,298,0,32.36,3.56,28.23,20.15,0.00,21.13,3.10,0.00,69.00,92,25.00,12244,6,2563,2
19,0,8610,3.4,0.24,57.15,4.44,0.00,29.37,4.52,24.00,69.00,299,25.00,12244,7,2563,1
20,334,0,15.38,3.42,36.55,17.0,0.00,25.25,8.45,0.00,61.00,118,24.00,12244,7,2563,2
21,0,9776,3.56,0.23,59.6,5.46,0.00,31.50,5.25,20.00,63.00,297,29.00,12244,8,2563,1
22,412,0,20.33,0.59,49.33,21.30,0.00,42.56,6.12,0.00,56.00,108,27.00,12244,8,2563,2
23,0,9836,3.0,0.24,5.55,5.51,0.00,30.7,5.13,25.00,61.00,326,22.00,12244,9,2563,1
24,440,0,27.50,1.21,55.57,22.39,0.00,43.13,5.34,0.00,60.00,80,27.00,12244,9,2563,2

