ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,0,11631,67.85,3.23,81.12,4.12,0,26.55,0,0,6.08,358,63.5,12260,10,2563,1
2,0,11020,61.04,3.15,78.22,3.9,0,27.28,0,0,6.08,383,65,12260,11,2563,1
3,0,10319,72.38,3.05,77.21,3.82,0,26.71,0,0,6.5,359,61.96,12260,12,2563,1
4,0,11916,67.51,3.18,81.07,3.65,0,24.84,0,0,7.48,389,65.38,12260,1,2563,1
5,0,10186,78.6,2.95,73.83,3.81,0,24.52,0,0,6.67,397,55.65,12260,2,2563,1
6,0,11519,66.09,2.92,66.88,3.61,0,31.89,0,0,6.48,363,63.29,12260,3,2563,1
7,0,10789,46.51,2.74,49.2,3.86,0,28.76,16.29,38.47,8.65,263,53.36,12260,4,2563,1
8,0,9760,60.99,2.7,56.18,4.03,0,31.65,16.5,26.29,9.6,382,54.41,12260,5,2563,1
9,0,10576,56.78,2.74,80.24,4.19,0,27.41,18.92,31.18,8.16,356,56.89,12260,6,2563,1
10,0,10703,68.29,2.75,76.28,3.66,0,28.51,21.64,29.07,6.68,324,58.96,12260,7,2563,1
11,0,10617,68.08,2.54,80.72,3.65,0,25.83,23.3,33.78,7.78,322,60.65,12260,8,2563,1
12,0,10848,61.22,2.51,78.75,3.73,0,32.19,23.27,29.91,8.52,342,66.14,12260,9,2563,1
