ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาการคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจแพทย์,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผู้ป่วยรับไว้รักษา (Admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา (Admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,16,0,15,7,0,0,0,5,0,0,0,0,0,40915,9,2565,2
2,0,1186,7,19,34,18,0,5,3,3,86,0,0,40915,9,2565,1
3,11,0,15,56,0,0,0,5,0,0,0,0,0,40915,10,2565,2
4,0,1056,7,60,14,20,0,5,8,8,73,0,0,40915,10,2565,1
5,31,0,15,56,0,0,0,5,0,0,0,0,0,40915,11,2565,2
6,0,1143,7,40,16,54,0,5,7,7,75,0,0,40915,11,2565,1
7,29,0,15,40,0,0,0,5,0,0,0,0,0,40915,12,2565,2
8,0,845,7,38,16,58,0,5,20,20,75,0,0,40915,12,2565,1
9,63,0,15,55,0,0,9,5,0,0,0,0,0,40915,1,2565,2
10,0,852,7,39,54,43,9,5,14,14,85,0,0,40915,1,2565,1
11,21,0,15,90,0,0,9,5,0,0,0,0,0,40915,2,2565,2
12,0,813,7,42,37,49,9,5,14,14,88,0,0,40915,2,2565,1
13,18,0,15,79,0,0,11,5,0,0,0,0,0,40915,3,2565,2
14,0,989,7,39,40,47,11,5,10,10,81,0,0,40915,3,2565,1
15,23,0,15,80,0,0,12,5,0,0,0,0,0,40915,4,2565,2
16,0,760,7,39,22,59,12,5,30,30,143,0,0,40915,4,2565,1
17,43,0,15,57,0,0,15,5,0,0,0,0,0,40915,5,2565,2
18,0,889,7,40,19,58,15,5,3,3,84,0,0,40915,5,2565,1
19,46,0,15,58,0,0,17,5,0,0,0,0,0,40915,6,2565,2
20,0,957,7,52,19,55,17,5,39,39,87,0,0,40915,6,2565,1
