ลำดับ,จำนวนผู้ป่วยนอกใหม่,จำนวนผู้ป่วยนอกเก่า,ระยะเวลาลงทะเบียนที่ห้องบัตร,ระยะเวลาคัดกรอง,ระยะเวลารอพบแพทย์,ระยะเวลาในห้องตรวจ,ระยะเวลาหลังพบแพทย์,ระยะเวลารอการชำระเงิน,ระยะเวลารับยา,ระยะเวลารอรับยาเดิม,ระยะเวลากรณีได้รับ intervention อื่นๆ,จำนวนผุ้ป่วยรับไว้รักษา(admit),ระยะเวลาในการจัดทำ/บริการเพื่อรับไว้รักษา(admit),รหัสโรงพยาบาล,ประจำเดือน,ปีงบประมาณ,ประเภทผู้ป่วย
1,78,0,0,0,0,0,0,0,0,0,0,0,0,14955,10,2564,2
2,0,750,0,0,0,0,0,0,0,0,0,0,0,14955,10,2564,1
3,92,0,0,0,0,0,0,0,0,0,0,0,0,14955,11,2564,2
4,0,763,0,0,0,0,0,0,0,0,0,0,0,14955,11,2564,1
5,72,0,0,0,0,0,0,0,0,0,0,0,0,14955,12,2564,2
6,0,763,0,0,0,0,0,0,0,0,0,0,0,14955,12,2564,1
7,42,0,0,0,0,0,0,0,0,0,0,0,0,14955,1,2564,2
8,0,573,0,0,0,0,0,0,0,0,0,0,0,14955,1,2564,1
9,60,0,0,0,0,0,0,0,0,0,0,0,0,14955,2,2564,2
10,0,615,0,0,0,0,0,0,0,0,0,0,0,14955,2,2564,1
11,92,0,0,0,0,0,0,0,0,0,0,0,0,14955,3,2564,2
12,0,844,0,0,0,0,0,0,0,0,0,0,0,14955,3,2564,1
13,46,0,0,0,0,0,0,0,0,0,0,0,0,14955,4,2564,2
14,0,607,0,0,0,0,0,0,0,0,0,0,0,14955,4,2564,1
15,34,0,0,0,0,0,0,0,0,0,0,0,0,14955,5,2564,2
16,0,552,0,0,0,0,0,0,0,0,0,0,0,14955,5,2564,1
17,47,0,0,0,0,0,0,0,0,0,0,0,0,14955,6,2564,2
18,0,752,0,0,56,11,13,0,1,7,12,0,0,14955,6,2564,1
19,15,0,0,0,13,42,19,0,7,7,24,0,0,14955,7,2564,2
20,0,579,0,0,0,0,0,0,0,0,0,0,0,14955,7,2564,1
21,28,0,0,0,0,0,0,0,0,0,0,0,0,14955,8,2564,2
22,0,625,0,0,0,0,0,0,0,0,0,0,0,14955,8,2564,1
23,40,0,0,0,0,0,0,0,0,0,0,0,0,14955,9,2564,2
24,0,753,0,0,0,0,0,0,0,0,0,0,0,14955,9,2564,1
25,122,0,0,0,0,0,0,0,0,0,0,0,0,14955,10,2563,2
26,0,1065,0,0,0,0,0,0,0,0,0,0,0,14955,10,2563,1
27,77,0,0,0,0,0,0,0,0,0,0,0,0,14955,11,2563,2
28,0,938,0,0,0,0,0,0,0,0,0,0,0,14955,11,2563,1
29,71,0,0,0,0,0,0,0,0,0,0,0,0,14955,12,2563,2
30,0,804,0,0,0,0,0,0,0,0,0,0,0,14955,12,2563,1
31,81,0,0,0,0,0,0,0,0,0,0,0,0,14955,1,2563,2
32,0,903,0,0,0,0,0,0,0,0,0,0,0,14955,1,2563,1
33,58,0,0,0,0,0,0,0,0,0,0,0,0,14955,2,2563,2
34,0,783,0,0,0,0,0,0,0,0,0,0,0,14955,2,2563,1
35,49,0,0,0,0,0,0,0,0,0,0,0,0,14955,3,2563,2
36,0,712,0,0,0,0,0,0,0,0,0,0,0,14955,3,2563,1
37,18,0,0,0,0,0,0,0,0,0,0,0,0,14955,4,2563,2
38,0,310,0,0,0,0,0,0,0,0,0,0,0,14955,4,2563,1
39,53,0,0,0,0,0,0,0,0,0,0,0,0,14955,5,2563,2
40,0,482,0,0,0,0,0,0,0,0,0,0,0,14955,5,2563,1
41,72,0,0,0,0,0,0,0,0,0,0,0,0,14955,6,2563,2
42,0,877,0,0,0,0,0,0,0,0,0,0,0,14955,6,2563,1
43,61,0,0,0,0,0,0,0,0,0,0,0,0,14955,7,2563,2
44,0,686,0,0,0,0,0,0,0,0,0,0,0,14955,7,2563,1
45,85,0,0,0,0,0,0,0,0,0,0,0,0,14955,8,2563,2
46,0,809,0,0,0,0,0,0,0,0,0,0,0,14955,8,2563,1
47,80,0,0,0,0,0,0,0,0,0,0,0,0,14955,9,2563,2
48,0,837,0,0,0,0,0,0,0,0,0,0,0,14955,9,2563,1
